plate,density,duration,colony,settle_time,mod_x,mod_y,field_area,field_perc,mod_area,mod_perc
A10,24,81,4,4,18.9,32.3,7005.906,8.259009113,289.4670031,5.789340061
A10,24,81,15,4,64.0,19.5,8319.314,9.807338286,511.7681512,10.23536302
A10,24,81,18,5,66.9,38.7,2133.34,2.514917343,75.48728827,1.509745765
A10,24,81,21,5,80.9,37.1,3585.59,4.226922326,133.4401277,2.668802554
A10,24,81,2,6,12.2,13.2,4627.926,5.455694525,236.8636565,4.73727313
A10,24,81,9,6,42.6,9.2,6061.599,7.145799755,218.4376255,4.36875251
A10,24,81,22,6,84.5,44.5,3226.164,3.803208019,174.7501004,3.495002008
A10,24,81,24,6,91.8,26.3,4045.722,4.769355294,184.26031,3.685206199
A10,24,81,3,7,17.2,23.8,3716.782,4.381579828,164.0511147,3.281022293
A10,24,81,6,8,9.3,35.0,5669.963,6.684114244,228.8394172,4.576788344
A10,24,81,17,8,65.2,43.1,5417.148,6.386079787,190.2041909,3.804083818
A10,24,81,23,8,87.2,18.8,8699.954,10.25606101,416.3688617,8.327377234
A10,24,81,8,10,34.5,6.3,1226.959,1.446417574,87.07785616,1.741557123
A10,24,81,1,11,1.4,13.1,1884.176,2.221186918,85.88907996,1.717781599
A10,24,81,16,11,62.5,37.1,2928.267,3.452028023,139.6812027,2.793624054
A10,24,81,5,12,17.4,37.7,2244.036,2.645412852,140.2755908,2.805511816
A10,24,81,11,16,41.4,20.5,2140.646,2.523530122,58.25003347,1.165000669
A10,24,81,7,17,27.3,4.0,2232.132,2.631379657,62.1135561,1.242271122
A10,24,81,12,17,42.0,29.2,3817.743,4.500599099,190.501385,3.810027699
A10,24,81,14,17,50.9,20.6,1649.699,1.944770466,71.92095969,1.438419194
A10,24,81,19,17,70.4,37.3,422.376,0.497923785,17.8316429,0.356632858
A10,24,81,10,19,34.8,15.6,1548.613,1.825603838,68.05743706,1.361148741
A10,24,81,20,20,74.7,30.7,1149.516,1.355122823,40.41839057,0.808367811
A10,24,81,13,21,43.1,26.6,297.697,0.350944223,43.09313701,0.86186274
B1,16,81,6,2,68.8,48.0,2332.33,2.778137668,78.7564228,1.575128456
B1,16,81,4,3,73.3,13.4,15145.589,18.04055657,757.2504351,15.1450087
B1,16,81,3,4,78.7,37.0,4503.276,5.364043976,156.3240694,3.126481388
B1,16,81,5,4,65.9,39.6,3804.675,4.53191055,255.5868816,5.111737631
B1,16,81,1,5,86.4,37.3,8468.126,10.0867458,357.5244401,7.150488802
B1,16,81,7,6,50.5,15.6,8206.619,9.775253662,422.3127427,8.446254853
B1,16,81,10,6,35.9,34.5,9232.927,10.99773286,494.2337023,9.884674047
B1,16,81,11,7,39.6,2.3,4310.146,5.133998602,142.9503372,2.859006745
B1,16,81,15,7,0.6,9.2,1279.957,1.524611335,87.3750502,1.747501004
B1,16,81,2,8,82.4,47.4,1591.401,1.895585558,71.92095969,1.438419194
B1,16,81,13,9,17.8,17.2,4678.521,5.572785764,376.8420533,7.536841065
B1,16,81,14,9,8.2,12.7,7500.872,8.934608331,168.8062194,3.376124389
B1,16,81,16,9,14.6,49.0,6988.867,8.324737353,353.6609175,7.07321835
B1,16,81,12,11,35.0,0.8,1385.41,1.650220898,117.3916491,2.347832982
B1,16,81,9,14,50.3,48.7,2698.452,3.214241187,87.07785616,1.741557123
B1,16,81,8,23,50.3,38.5,1961.416,2.336326194,66.27427277,1.325485455
B3,16,95,11,0,59.6,35.8,9417.763,11.22648635,307.8930341,6.157860681
B3,16,95,4,3,34.2,6.7,9464.963,11.28275132,404.7782938,8.095565876
B3,16,95,5,4,42.3,1.9,1348.002,1.606891791,77.27045256,1.545409051
B3,16,95,12,6,55.6,45.5,3881.687,4.627182287,116.797261,2.33594522
B3,16,95,13,10,37.2,49.9,6918.779,8.24756134,416.9632498,8.339264996
B3,16,95,16,10,70.9,32.7,14096.762,16.80410796,947.454626,18.94909252
B3,16,95,1,11,8.0,24.2,11530.259,13.74469662,399.725995,7.9945199
B3,16,95,6,13,42.4,4.6,266.709,0.317931652,13.37373217,0.267474643
B3,16,95,7,13,44.5,6.9,2559.479,3.051038348,90.34699069,1.806939814
B3,16,95,8,16,42.9,12.8,1243.833,1.482716671,54.08931679,1.081786336
B3,16,95,10,16,49.1,28.9,1011.925,1.206269706,143.2475313,2.864950626
B3,16,95,14,16,64.5,15.0,12910.137,15.38958634,536.4352572,10.72870514
